P_CODE,VDC_NAME,DISTRICT,REGION,MMI_MAX,MMI_UNLOG,MMI_MAX,POP_2011,POP_2011,POPDEN_2011,POPDEN_2011,HOUSE_WALL_PERCENT_HIGH_RISK,HOUSE_WALL_PERCENT_HIGH_RISK,HOUSE_ROOF_PERCENT_HIGH_RISK,HOUSE_ROOF_PERCENT_HIGH_RISK,HUMAN_POVERTY_INDEX,HUMAN_POVERTY_INDEX
C-JAN-19-038,Haripur,Sarlahi,Central,7.27,18768781,0.44,11444,0.12,944.22,6.82,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-039,Haripurwa,Sarlahi,Central,7.03,10676902,0.25,15798,0.16,1539.23,7.31,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-040,Hariyon,Sarlahi,Central,7.38,24127355,0.56,20350,0.21,948.51,6.82,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-041,Hathiyol,Sarlahi,Central,6.62,4135745,0.10,8560,0.09,918.89,6.79,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-042,Hempur,Sarlahi,Central,7.05,11264651,0.26,7434,0.08,843.81,6.71,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-043,Ishworpur,Sarlahi,Central,7.22,16788036,0.39,21034,0.22,941.65,6.82,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-044,Jabdi,Sarlahi,Central,7.27,18575375,0.43,8771,0.09,543.54,6.27,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-045,Jamuniya,Sarlahi,Central,7.05,11199832,0.26,7834,0.08,732.81,6.57,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-046,JanakiNagar,Sarlahi,Central,7.21,16373081,0.38,8090,0.08,216.55,5.35,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-047,Jingadawa,Sarlahi,Central,7.00,9920060,0.23,4284,0.04,649.22,6.45,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-048,Kabilasi,Sarlahi,Central,7.08,12145128,0.28,11960,0.12,768.01,6.61,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-049,Kalinjor,Sarlahi,Central,7.78,59914193,1.39,5388,0.06,131.75,4.86,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-050,Karmaiya,Sarlahi,Central,7.39,24406850,0.57,9114,0.09,260.89,5.54,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-051,Khirwa,Sarlahi,Central,6.69,4860947,0.11,11819,0.12,908.84,6.78,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-052,Khoriya,Sarlahi,Central,6.91,8213899,0.19,4711,0.05,999.5,6.88,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-053,Khutauna,Sarlahi,Central,6.80,6319865,0.15,4893,0.05,904.73,6.78,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-054,Kisanpur,Sarlahi,Central,7.11,12745173,0.30,5506,0.06,435.59,6.05,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-055,Kodena,Sarlahi,Central,6.85,7083569,0.16,7546,0.08,856.75,6.72,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-056,Lalbandi,Sarlahi,Central,7.39,24804081,0.57,14583,0.15,1058.18,6.93,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-057,Laukath,Sarlahi,Central,6.99,9863465,0.23,6737,0.07,519.18,6.22,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-058,LaxmipurKodraha,Sarlahi,Central,7.20,15794049,0.37,9697,0.10,958.95,6.83,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-059,LaxmipurSu.,Sarlahi,Central,6.83,6825704,0.16,5760,0.06,2332.24,7.72,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-060,Madhubangoth,Sarlahi,Central,6.77,5886840,0.14,5942,0.06,1071.91,6.95,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-061,Madhubani,Sarlahi,Central,6.67,4641541,0.11,4258,0.04,1198.68,7.06,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-062,Mahinathpur,Sarlahi,Central,6.86,7260606,0.17,3588,0.04,1317.71,7.15,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-063,Belhi,Sarlahi,Central,6.92,8407002,0.19,4584,0.05,1473.4,7.26,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-064,MalangawaN.P.,Sarlahi,Central,6.92,8371603,0.19,25102,0.26,2672.3,7.85,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-065,Manpur,Sarlahi,Central,6.91,8201913,0.19,8891,0.09,650.39,6.45,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-066,Mirjapur,Sarlahi,Central,6.67,4660344,0.11,4588,0.05,1662.5,7.38,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-067,Mohanpur,Sarlahi,Central,7.04,11016489,0.26,6880,0.07,586.57,6.35,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-068,Motipur,Sarlahi,Central,6.88,7571150,0.18,4083,0.04,861.11,6.73,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-069,Murtiya,Sarlahi,Central,7.13,13383634,0.31,9200,0.09,581.01,6.34,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-070,Musauli,Sarlahi,Central,6.85,7010014,0.16,5190,0.05,1201.21,7.06,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-071,NarayanKhola,Sarlahi,Central,7.88,76087752,1.76,4311,0.04,85.98,4.43,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-072,Narayanpur,Sarlahi,Central,6.96,9058783,0.21,3489,0.04,903.85,6.78,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-073,Netraganj,Sarlahi,Central,7.40,25028050,0.58,10223,0.10,569.01,6.32,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-074,Noukailawa,Sarlahi,Central,7.03,10764394,0.25,13087,0.13,700.72,6.52,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-075,Parsa,Sarlahi,Central,6.98,9516724,0.22,6337,0.06,949.91,6.83,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-076,Parwanipur,Sarlahi,Central,7.90,78721156,1.82,8500,0.09,94.16,4.52,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-077,Pattharkot,Sarlahi,Central,7.44,27392737,0.63,7431,0.08,204.07,5.29,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-078,Pidari,Sarlahi,Central,7.14,13796823,0.32,5557,0.06,825.8,6.69,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-079,Pidariya,Sarlahi,Central,6.94,8651394,0.20,4967,0.05,836.47,6.70,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-080,Pipariya,Sarlahi,Central,7.09,12165333,0.28,6991,0.07,1061.93,6.94,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-081,Rajghat,Sarlahi,Central,7.18,15297111,0.35,10186,0.10,434.24,6.05,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-082,Ramban,Sarlahi,Central,6.78,6025473,0.14,4950,0.05,993.8,6.87,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-083,RamnagarBahaur,Sarlahi,Central,6.70,5040174,0.12,6670,0.07,1397.3,7.21,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-084,Raniganj,Sarlahi,Central,7.29,19321858,0.45,5576,0.06,404.35,5.98,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-085,Rohuwa,Sarlahi,Central,6.73,5309747,0.12,3102,0.03,1076.37,6.95,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-086,Sakraul,Sarlahi,Central,6.77,5956590,0.14,4974,0.05,853.76,6.72,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-087,Salempur,Sarlahi,Central,6.96,9111001,0.21,8117,0.08,1258.21,7.11,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-088,Sangrampur,Sarlahi,Central,6.98,9450449,0.22,7540,0.08,1258.94,7.11,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-089,Shankarpur,Sarlahi,Central,7.21,16345689,0.38,8740,0.09,445.94,6.07,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-090,Sasapur,Sarlahi,Central,7.43,27220344,0.63,6397,0.07,523.92,6.23,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-091,Shreepur,Sarlahi,Central,7.04,10969838,0.25,4804,0.05,539.49,6.26,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-092,Sikhauna,Sarlahi,Central,6.82,6636834,0.15,4943,0.05,684.04,6.50,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-093,Simara,Sarlahi,Central,6.80,6242529,0.14,8925,0.09,823.26,6.68,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-094,Sisotiya,Sarlahi,Central,6.87,7390946,0.17,9766,0.10,1147.61,7.01,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-095,Sisout,Sarlahi,Central,6.78,6001532,0.14,7967,0.08,1110.24,6.98,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-096,Sohadawa,Sarlahi,Central,6.94,8666596,0.20,4074,0.04,983.25,6.86,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-097,Sudama,Sarlahi,Central,6.64,4391067,0.10,4188,0.04,1228.27,7.08,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-098,Sundarpur,Sarlahi,Central,6.90,7946625,0.18,7552,0.08,1442.72,7.24,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-099,SundarpurChuldawa,Sarlahi,Central,6.98,9520936,0.22,10861,0.11,588.3,6.35,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-19-100,TribhuwanNagar,Sarlahi,Central,6.89,7711855,0.18,3605,0.04,1525.84,7.30,26.06,0.00,81.38,8.42,43.86,8.35
C-JAN-20-001,Amale,Sindhuli,Central,8.32,208031253,4.82,2261,0.02,55.2,3.99,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-002,Arunthakur,Sindhuli,Central,5.90,785555,0.02,5766,0.06,119.66,4.76,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-003,Bahuntilpung,Sindhuli,Central,6.12,1304791,0.03,3116,0.03,154.08,5.01,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-004,Balajor,Sindhuli,Central,6.42,2650122,0.06,4358,0.04,127.53,4.83,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-005,Baseshwor,Sindhuli,Central,7.19,15637442,0.36,3200,0.03,115.79,4.73,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-006,Bastipur,Sindhuli,Central,8.15,140352956,3.25,3029,0.03,100.74,4.59,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-007,Belghari,Sindhuli,Central,6.87,7358961,0.17,3846,0.04,98.31,4.57,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-008,Bhadrakali,Sindhuli,Central,8.03,105945053,2.46,4415,0.05,87.46,4.45,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-009,Bhimeshwor,Sindhuli,Central,7.35,22580747,0.52,2298,0.02,152.47,5.00,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-010,Bhimsthan,Sindhuli,Central,7.04,10936910,0.25,5780,0.06,125.08,4.81,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-011,BhuwaneshoriGwaltar,Sindhuli,Central,6.82,6577139,0.15,2039,0.02,122.78,4.79,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-012,BitijorBagaiya,Sindhuli,Central,6.59,3905432,0.09,1942,0.02,77.85,4.34,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-013,Dadiguranshe,Sindhuli,Central,8.60,401075988,9.30,4804,0.05,58.12,4.04,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-014,Dudbhanjyang,Sindhuli,Central,6.45,2832304,0.07,2860,0.03,71.45,4.25,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-015,Dudhouli,Sindhuli,Central,6.51,3253080,0.08,8568,0.09,380.49,5.91,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-016,HariharpurGadhi,Sindhuli,Central,8.23,169894310,3.94,4744,0.05,72.8,4.27,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-017,Harsahi,Sindhuli,Central,6.35,2258315,0.05,4693,0.05,200.73,5.28,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-018,Hatpate,Sindhuli,Central,6.51,3212260,0.07,8106,0.08,153.45,5.01,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-019,Jalkanya,Sindhuli,Central,7.51,32074421,0.74,1806,0.02,199.64,5.27,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-020,Jarayotar,Sindhuli,Central,6.47,2941706,0.07,7310,0.07,150.53,4.99,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-021,JhangajholiRalmata,Sindhuli,Central,7.99,98600113,2.29,5337,0.05,149.88,4.99,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-022,Jinakhu,Sindhuli,Central,5.93,854140,0.02,5270,0.05,126.04,4.81,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-023,KakurThakur,Sindhuli,Central,6.16,1438274,0.03,5487,0.06,80.62,4.37,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-024,Kalpabrishykha,Sindhuli,Central,8.49,306282463,7.10,9370,0.10,72.52,4.26,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-025,KamalamiN.P.,Sindhuli,Central,8.04,109476991,2.54,39413,0.40,189.41,5.22,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-026,Kapilakot,Sindhuli,Central,8.54,345894968,8.02,11485,0.12,107.04,4.65,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-027,KhangSang,Sindhuli,Central,6.01,1034065,0.02,2831,0.03,131.47,4.86,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-028,Kholagaun,Sindhuli,Central,6.12,1312866,0.03,2829,0.03,94.93,4.53,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-029,KusesworDumja,Sindhuli,Central,7.95,89575542,2.08,4973,0.05,140.7,4.92,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-030,Kyaneshwor,Sindhuli,Central,8.15,141247117,3.27,9364,0.10,75.82,4.31,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-031,Ladabhir(Mahendra),Sindhuli,Central,6.52,3274261,0.08,7226,0.07,240.65,5.46,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-032,Lampantar,Sindhuli,Central,6.36,2266109,0.05,5942,0.06,177.2,5.15,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-033,Mahadevdada,Sindhuli,Central,5.97,928528,0.02,3879,0.04,99.81,4.58,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-034,Mahadevsthan,Sindhuli,Central,8.63,431343090,10.00,6967,0.07,114.63,4.72,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-035,Mahendrajhayadi,Sindhuli,Central,8.15,142137610,3.30,6015,0.06,72.94,4.27,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-036,Majhuwa,Sindhuli,Central,7.82,66220284,1.54,2398,0.02,94.84,4.53,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-037,Netrakali,Sindhuli,Central,8.21,163737279,3.80,3400,0.03,119.23,4.76,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-038,Nipane,Sindhuli,Central,6.50,3156817,0.07,3418,0.04,180.1,5.17,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-039,Pipalmadi,Sindhuli,Central,7.94,87990365,2.04,7604,0.08,104.47,4.63,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-040,PuranoJhangajholi,Sindhuli,Central,8.01,102302617,2.37,4707,0.05,145.88,4.96,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-041,Ranibas,Sindhuli,Central,6.91,8045550,0.19,5067,0.05,99.72,4.58,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-042,Ranichuri,Sindhuli,Central,7.73,53305769,1.24,8881,0.09,109.01,4.67,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-043,Ratanchura,Sindhuli,Central,7.32,21069844,0.49,2821,0.03,116.05,4.73,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-044,Ratnawati,Sindhuli,Central,5.82,653321,0.02,2745,0.03,72.06,4.26,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-045,Santeswori(Rampur),Sindhuli,Central,8.35,226337914,5.25,2725,0.03,85.94,4.43,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-046,Sirthouli,Sindhuli,Central,6.36,2285008,0.05,7618,0.08,158.47,5.04,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-047,Sitalpati,Sindhuli,Central,7.85,71043891,1.65,4058,0.04,155.02,5.02,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-048,Solpathana,Sindhuli,Central,5.81,651974,0.02,2195,0.02,70.56,4.24,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-049,SunamPokhari,Sindhuli,Central,6.32,2082177,0.05,2489,0.03,93.32,4.52,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-050,Tamajor,Sindhuli,Central,8.16,146109540,3.39,2346,0.02,66.06,4.17,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-051,Tandi,Sindhuli,Central,6.47,2968513,0.07,9150,0.09,250.57,5.50,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-052,Tinkanya,Sindhuli,Central,7.05,11261065,0.26,4169,0.04,117.36,4.74,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-053,Tosramkhola,Sindhuli,Central,6.19,1551736,0.04,1979,0.02,121.94,4.78,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-20-054,TribhuvanAmbote,Sindhuli,Central,6.11,1303073,0.03,4074,0.04,96.54,4.55,60.15,4.63,55.91,5.75,37.95,6.55
C-JAN-21-001,BamtiBhandar,Ramechhap,Central,6.26,1832246,0.04,3144,0.03,155.04,5.02,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-002,Betali,Ramechhap,Central,6.79,6192756,0.14,4483,0.05,259.16,5.53,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-003,Bethan,Ramechhap,Central,7.86,71838553,1.67,4634,0.05,256.82,5.52,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-004,Bhadaure,Ramechhap,Central,7.77,58755587,1.36,2475,0.03,158.33,5.04,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-005,Bhatauli,Ramechhap,Central,7.58,38032627,0.88,3936,0.04,154.46,5.02,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-006,Bhirpani,Ramechhap,Central,7.92,84096512,1.95,3253,0.03,121.23,4.78,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-007,Bhujee,Ramechhap,Central,6.39,2429138,0.06,2402,0.02,130.02,4.85,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-008,Bijulikot,Ramechhap,Central,6.55,3559873,0.08,5058,0.05,192.97,5.24,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-009,Chanakhu,Ramechhap,Central,7.34,21921650,0.51,2366,0.02,179.74,5.17,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-010,Chisapani,Ramechhap,Central,7.22,16523080,0.38,3187,0.03,318.21,5.74,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-011,Chuchure,Ramechhap,Central,6.67,4651244,0.11,2629,0.03,33.87,3.51,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-012,Dadhuwa,Ramechhap,Central,7.72,52714839,1.22,4730,0.05,163.09,5.07,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-013,Deurali,Ramechhap,Central,6.59,3877681,0.09,3257,0.03,189.99,5.22,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-014,Dimipokhari,Ramechhap,Central,7.82,66306425,1.54,3073,0.03,186.41,5.20,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-015,Doramba,Ramechhap,Central,7.71,51602564,1.20,3273,0.03,160.48,5.06,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-016,Duragau,Ramechhap,Central,6.52,3321550,0.08,3023,0.03,100.95,4.59,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-017,Farpu,Ramechhap,Central,6.94,8630806,0.20,2098,0.02,148.89,4.98,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-018,Gelu,Ramechhap,Central,7.27,18542853,0.43,5652,0.06,215.93,5.35,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-019,Goswara,Ramechhap,Central,7.71,51070536,1.18,3632,0.04,98.91,4.57,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-020,Gothgau,Ramechhap,Central,6.55,3543868,0.08,2401,0.02,230.64,5.42,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-021,Gumdel,Ramechhap,Central,6.44,2750086,0.06,2466,0.03,7.4,1.99,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-022,GunsiBhadaure,Ramechhap,Central,7.81,64921695,1.51,4702,0.05,215.24,5.35,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-023,Guptesor,Ramechhap,Central,6.54,3468762,0.08,1769,0.02,72.81,4.27,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-024,Hiledevi,Ramechhap,Central,7.79,61344619,1.42,3031,0.03,207,5.31,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-025,Himganga,Ramechhap,Central,6.45,2795100,0.06,4248,0.04,121.53,4.78,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-026,Kathjor,Ramechhap,Central,6.95,8927980,0.21,4716,0.05,204.67,5.30,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-027,Khadadevi,Ramechhap,Central,7.82,65890653,1.53,3925,0.04,183.94,5.19,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-028,Khaniyapani,Ramechhap,Central,7.84,69247794,1.61,4065,0.04,193.83,5.24,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-029,Khimti,Ramechhap,Central,6.97,9243370,0.21,4278,0.04,194.81,5.25,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-030,Kubukasthali,Ramechhap,Central,6.32,2098058,0.05,2727,0.03,139.2,4.91,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-031,Lakhanpur,Ramechhap,Central,7.80,62847894,1.46,6209,0.06,234.35,5.43,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-032,Majuwa,Ramechhap,Central,7.93,85433881,1.98,2293,0.02,133.57,4.87,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-033,Makadum,Ramechhap,Central,7.85,70455157,1.63,1911,0.02,235.77,5.44,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-034,Maluwajor,Ramechhap,Central,7.45,28218372,0.65,3496,0.04,110.66,4.69,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-035,Manthali,Ramechhap,Central,7.12,13247421,0.31,7569,0.08,520.57,6.23,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-036,NagaDaha,Ramechhap,Central,6.72,5207005,0.12,3679,0.04,214.34,5.34,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-037,Namadi,Ramechhap,Central,6.79,6234597,0.14,3981,0.04,142.23,4.93,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-038,Okhreni,Ramechhap,Central,6.57,3742416,0.09,3503,0.04,136.38,4.89,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-039,Pakarbas,Ramechhap,Central,7.72,52029192,1.21,6392,0.07,205.24,5.30,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-040,Phulasi,Ramechhap,Central,7.48,30272554,0.70,5733,0.06,246.62,5.48,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-041,Pinkhuri,Ramechhap,Central,7.60,39521917,0.92,2078,0.02,214.56,5.34,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-042,Pritee,Ramechhap,Central,6.60,3971296,0.09,5093,0.05,140.68,4.92,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-043,Puranagau,Ramechhap,Central,7.44,27685426,0.64,3008,0.03,256.73,5.52,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-044,Rakathum,Ramechhap,Central,7.93,85373306,1.98,3434,0.04,167,5.09,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-045,Ramechhap,Ramechhap,Central,7.09,12246453,0.28,5222,0.05,135.65,4.89,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-046,Rampur,Ramechhap,Central,6.63,4279274,0.10,4101,0.04,108.33,4.66,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-047,Rasanalu,Ramechhap,Central,6.75,5566309,0.13,4424,0.05,137.19,4.90,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-048,Saipu,Ramechhap,Central,6.49,3075623,0.07,2876,0.03,173.73,5.13,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-049,Salupati,Ramechhap,Central,6.75,5590490,0.13,3612,0.04,181.9,5.18,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-050,Sanghutar,Ramechhap,Central,6.41,2585356,0.06,2342,0.02,258.83,5.53,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-051,Sukajor,Ramechhap,Central,6.82,6652044,0.15,3538,0.04,122.65,4.79,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-052,Sunarpani,Ramechhap,Central,6.85,7146903,0.17,2141,0.02,165.48,5.09,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-053,Those,Ramechhap,Central,6.64,4317098,0.10,2443,0.03,83.79,4.41,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-054,Tilpung,Ramechhap,Central,6.95,8889929,0.21,4195,0.04,331.09,5.78,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-21-055,Tokarpur,Ramechhap,Central,7.71,51425643,1.19,3517,0.04,164.65,5.08,97.78,9.75,44.66,4.57,36.35,6.06
C-JAN-22-001,Alampu,Dolakha,Central,7.25,17972979,0.42,1803,0.02,26.96,3.28,97.23,9.68,52.46,5.39,35.70,5.86
C-JAN-22-002,Babare,Dolakha,Central,7.30,19834966,0.46,3533,0.04,211.93,5.33,97.23,9.68,52.46,5.39,35.70,5.86
C-JAN-22-003,Bhedapu,Dolakha,Central,7.52,32808649,0.76,3705,0.04,201.42,5.28,97.23,9.68,52.46,5.39,35.70,5.86
C-JAN-22-004,BhimesworN.P.,Dolakha,Central,7.57,37310432,0.86,22537,0.23,346.23,5.82,97.23,9.68,52.46,5.39,35.70,5.86
