P_CODE,VDC_NAME,DISTRICT,REGION,MMI_MAX,MMI_UNLOG,MMI_MAX,POP_2011,POP_2011,POPDEN_2011,POPDEN_2011,HOUSE_WALL_PERCENT_HIGH_RISK,HOUSE_WALL_PERCENT_HIGH_RISK,HOUSE_ROOF_PERCENT_HIGH_RISK,HOUSE_ROOF_PERCENT_HIGH_RISK,HUMAN_POVERTY_INDEX,HUMAN_POVERTY_INDEX
C-BAG-23-038,Kiwool,Sindhupalchok,Central,7.59,38467290,0.89,2950,0.03,113.06,4.71,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-039,Kubhinde,Sindhupalchok,Central,7.67,46774293,1.08,3009,0.03,379.39,5.91,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-040,Kunchok,Sindhupalchok,Central,7.71,50708192,1.18,3967,0.04,282.18,5.62,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-041,Langarche,Sindhupalchok,Central,7.42,26214088,0.61,2590,0.03,155.32,5.02,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-042,Lisankhu,Sindhupalchok,Central,7.91,81221913,1.88,3774,0.04,112.78,4.70,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-043,Listikot,Sindhupalchok,Central,7.36,22724006,0.53,3305,0.03,65.46,4.16,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-044,Mahankal,Sindhupalchok,Central,7.59,38850104,0.90,4843,0.05,170.94,5.12,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-045,Maneswor,Sindhupalchok,Central,7.55,35551586,0.82,3393,0.03,176.15,5.15,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-046,Mankha,Sindhupalchok,Central,7.52,33402312,0.77,7752,0.08,501.51,6.19,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-047,Marming,Sindhupalchok,Central,7.53,33924412,0.79,3255,0.03,66.34,4.18,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-048,Melamchi,Sindhupalchok,Central,7.64,43554003,1.01,5230,0.05,505.06,6.20,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-049,Motang,Sindhupalchok,Central,7.32,20658998,0.48,2582,0.03,13.83,2.61,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-050,Nawalpur,Sindhupalchok,Central,7.59,38806406,0.90,3471,0.04,208.21,5.31,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-051,Pagretar,Sindhupalchok,Central,7.51,32688483,0.76,2952,0.03,306.98,5.70,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-052,Palchok,Sindhupalchok,Central,7.58,38039769,0.88,1927,0.02,196.67,5.26,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-053,Pangtang,Sindhupalchok,Central,7.44,27452081,0.64,2481,0.03,153.4,5.01,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-054,Petaku,Sindhupalchok,Central,7.49,30670041,0.71,1600,0.02,304.77,5.69,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-055,Pipaldanda,Sindhupalchok,Central,7.76,57152378,1.32,3371,0.03,251.47,5.50,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-056,Piskar,Sindhupalchok,Central,7.43,27082468,0.63,2286,0.02,181.75,5.18,97.84,9.76,38.69,3.94,38.03,6.57
C-BAG-23-057,Ramche,Sindhupalchok,Central,7.39,24413255,0.57,4092,0.04,360.69,5.86,97.84,9.76,38.69,3.94,38.03,6.57
